参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
CU exchange有冇資助/funding?,一般可以收到幾多,reaching out award,10k咁少？,1,6,,,,,
一個禮拜內會出Dean,Math 3.685 有,記得好似係過3.3，然後係書院入面嗰個major嘅top 15%,有證書，咩成績好似視乎你咩major,6,141,,,,,
你都可以為精神健康出分力,你幾時死😂😂,屌你老母!中大白卡婆又係我呀,Thanks,1,6,,,,,
A0 bottom識frd/出pool,咩叫bottom?,有意pm,,,,1,3,,,
招UC湯宿男roommate,Pm,pm,Push,1,4,,,,,
__,大家approve未,好慢,,,,30,189,我的轉系回憶+轉系有用資料🔥😆,,
中醫interview,唔該晒🙏🏻,係啊 written test都係簡單問下你將來想投身咩方面嘅中醫事務,仲有系未in？,1,7,,,,,
tran去ibba好唔好,有興趣business,,,,,,,,1,1
A0女 想搵A0男,pm,pm,完sem放暑假係咪想識人呢🙈 無論你想識朋友😚or 另一半❤️都可以幫你配對🥰 簡單填form留低你既要求同contact admin會幫你配對符合你要求嘅人😇  再交換你地嘅contact～😊 https://docs.google.com/forms/d/e/1FAIpQLSfZ_TqFnhgoHwOyJH4EQ8EMyOrwY8gUj0Z306rAWP9q88kMCg/viewform?usp=sf_link,7,172,,,,,
__,咪信,海豚係咪都等緊email,佢好明顯亂up 啦😅,38,232,,,【分享】有冇人試過trans medic,,
UC（女）恆生樓轉I-House - 薄酬🔥,推！！！,有無人Ihouse想轉恆生！,行落啲 十五苑隔離大大個藍球場😅 又唔會嘈到人,1,14,,,,,
大英台灣佬,push,Push,add佢老尾？,2,61,,,,,
ihouse招男roommate,我prefer Block 3-5 我平時12點左右瞓（如果唔使趕Assignment嘅話）同埋唔打機希望搵個roommate作息時間夾 冇打機習慣 同埋最緊要有手尾‼️有興嘅留低你嘅tg 我再dm你🙇🏻‍♂️,,,,,,,,2,1
有冇人UC陳宿3人房想轉二人房？（男）,Pm/ Tg:kaorumitoma3000,想住三人房🙏🏻🙏🏻,,,,1,2,,,
招宜孫roomate🌱,helloo 唔係好識用🤣係咪可以轉去private chat?!,hiiiii!!,,,,3,20,,,
搵523女roommate,hihi請問仲招rmate嗎🥹,pm!!,pm,3,4,,,,,
$700薄酬 uc湯宿想換伯宿嘅入（女仔only）,有意pm~,,,,,,,,1,1
Discord,https://discord.gg/WASDh3d7,或者有咩意見建議都得,建咗一個Discord server for 中大學生，可以匿名發消息開post 咩都得 大家有冇興趣玩下,2,3,,,,,
招湯宿女roommates,Dm咗啦～,hi 介唔介意dm？,升yr3 會住兩個sem應該大部份時間都會係房都會煮下嘢食～,1,3,,,,,
coop,應該出面啲coop不比入面差,單純諗住搵份工嘅話建議自己出去搵,how come,1,8,,,,,
有冇人reg咗virtual exchange,有冇得Trans cred?,問下ching 正正常常係咪就有offer,"Max: two courses per sem. Some uni only allows one course from their uni, while some allows two.",1,8,,,,,
☠,佢d quiz我大部分都淨係拎50%分,"其實準時上堂,講多d野就ok, fn無所謂啦，pass 左咪得",,,,14,21,有冇人知Dr. Yip Lo Ming 靚唔靚grade,,
__,係cu？,呢啲叫厹,又一個毒撚 唉,1,14,,,有無人想暑假一齊打羽毛球？,,
招ihouse rm (女）,Pm 左🫣,請pm,"可唔可以加埋🙈平時都係係房睇書，但多數會時間會摺lib , 想住blk 3 quad room",1,13,,,,,
有冇bi/gay巴住緊梅雲堂,.,互含？ pm,如題🥵,1,3,,,,,
恒生樓招roommate,Push,Y4 csci major男 可詳聊,,,,2,,,,
Formal appeal 程序,想知+1,想知後續,Law? 唔太熟其他Fac唔知咩情況,2,12,,,,,
六月頭完sem 嘅暑 sem course幾時出grade?,你幾時完都好 都係統一7月15號左右出grade,七月中掛上年記得係15號 今年唔知,,,,1,2,,,
收UGEA2190 test source,Pm 🥹,考完喇喎,同求！,1,10,,,,,
越黎越多支那人侵略香港…,唔鍾意早日移民啦,onL9😅,唔鍾意？quit lor,1,8,,,,,
UC 換宿(湯->陳)一問,UC（男）湯宿換任何宿，$500薄酬,想問下一各位UC嘅老友知唔知有冇方法可以換宿，我同我個frd派左吾同宿🙏,,,,1,4,,,
招恒生樓男roommate,UC（男）湯宿換任何宿，$500薄酬,Ok,Hiii pm pls,1,4,,,,,
NA 四年一宿,NA apply咗四年一宿係咪就一定冇得住ihouse？,,,,,,,,1,1
揸的士你問我答,返左屋企,我忍住啲西水,咁最後點,2,38,,,,,
__,今年有nominate左，睇下有無人今年一樣有nom/之前有經驗，大家分享下～,係咪之前有apply？,有無人有nom？交流下～,2,3,,,dh chen foundation scholarship,,
澳洲exchange briefing,會啊 pm?,有冇人會去4/7澳洲領事館嘅briefing？🤍,,,,1,2,,,
收UGEA2100 Tse Sai Kit Sources,可能regular sem同暑sem有唔同🤔我上個sem讀係冇essay 得sit exam，sorry幫唔到啦,想知篇文應該點寫..,想要咩類型嘅source? 上個sem攞A，但冇自己整notes嗰啲,1,9,,,,,
UGEA 2190中國社會,連幾點考都唔知🥲,我都想知🥲,有冇人讀過UGEA2190？嚟緊quiz，但唔知點溫，有冇高手指點下🙏,2,3,,,,,
應林rm,應林真係比狗住,想摺唔好住應林 個人意見 應林仔會半強迫你去玩,想搵正常rm  升year 4唔太想chur玩 最好可以一齊摺下 應該淨係住sem 1 有意dm,1,3,,,,,
Wys fyp,有無組重差人，宜家得兩個人,,,,,,,,1,1
放UGFH1000 A source,賣source ar,Pm 有咩,pm,1,4,,,,,
