参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
CEG yr2 升 yr3 揀stream,smart city好似新開？,有structural engineering同infrastructure and urbanism smart city揀，想問下兩者讀嘅野有乜分別同前景如何,,,,2,2,,,
Fin + BE double major 可以嗎?,我就係咁,可以,fin得唔得,1,11,,,,,
aims揾唔到某啲minor,double major係，tran乞食科唔過3可以tran到,係咪一定過3先可以double major或者tran major？,已email，原來下個sem A暫時取消咗Japanese studies同Korean studies，話改一改大綱之後sem b開翻,1,9,,,,,
有冇人exchange 捷克Czech,hi有嘢想問,Push,每日一推,2,16,,,,,
收COM sources,push,push,有咩COURSE  SEND來睇睇,1,6,,,,,
二手Airpods $400 有冇人要？,Push,Pm,Pm,1,4,,,,,
GE2132 有無巴絲Summer讀緊,Up,Pm,🤣🤣,3,49,,,,,
Scholarship Status,Up,你攞邊個呢？,唔係,1,25,,,,,
有無人讀GE2132 Summer☺️,Pm,Pm,要source pm我🫡,3,20,,,,,
German 1 難？,Ok,易,有冇人讀過？,1,3,,,,,
有咩CB elective 推介？🙏🏻,What major?,希望幫到你,📷,1,7,,,,,
__,Yes,hk police,maybe private capital ?,1,18,,,GT 前景,,
唔好po chem/envir/phy/bio/sci la,有人想讀 有人trans走都得喇 都係自己諗,叻人早tran科咗，有咩可爭邊個最乞食,,,,1,2,,,
GE1359 放滿分 assignment,Pm,,,,,,,,1,1
Double major issn,唔好搞除非本身你 MKT,咪,想問issn靚唔靚grade?,1,3,,,,,
dean‘s list gpa要幾高,eng同sci要幾時,得張jpg,,,,8,143,,,
CHEM真係咁垃圾？,內地都鍾意來三大讀master 梗係升咗咯,一個 taught master 姐 點解可以咁貴,Finance同純sci完全唔同範疇,2,28,,,,,
environment science 出路好唔好,wtf? ching好識講笑😂,"environmental可能好過chem，而chem好過maths phy (隔離post樓主，2023), science/phy 又同cs civil有得比(再隔離post樓主，2023)結論：好過civil cs",,,,1,2,,,
有冇人去 finland exchange?,Pm,想識下交流下,,,,1,2,,,
正式宣布 Poly係第四大！,有個ig page 叫CityU Kam soc Post 自己偷左日本旅館的鎖匙但無人知係咪借刀,偷鎖匙係咩事？,polyu>cityu係事實睇收分已經知再講，仲有邊間u嘅學生會bear bear咁吠，又會偷人鎖匙，學生會帶頭呃錢...,1,9,,,,,
academeic advising form,dear 成個department嘅學生咁🥶,🧐點先算warning？我今日先收到呢封嘢,,,,1,6,,,
Talent development scholarship,sdsfinance@cityu.edu.hk,請問finance department 個email 係邊個？係fostdfee@cityu.edu.hk？👀🙏🏻,申請呢個scholarship資格係？,1,6,,,,,
ge1359/ma1502對asm1,Pm,上年A+ 路過Sent 來望下？,Pm,1,6,,,,,
有無報左今年復旦summer,CB3042 - China Business Environment 就講到明唔得,唔得咪十二月,九月一前出到咪今轉,1,38,,,,,
Minor 一問,"有冇人reg Forensic Studies / Criminology minor, 點？",,,,,,,,1,1
收GE2324 Assignment Answer,pm,pm,Pm,1,3,,,,,
科工major tier list,或者minor咯 邊個知double business有幾多cred,30 cre 係for double major?,year 1 讀 3字頭courseyear 2 postgrad 式researchtailor made internship30 cred free elective...,1,18,,,,,
約買城大牛奶,呃,想要城大人奶,Pm,1,9,,,,,
有冇人收到TDS scholarship?,同問,Lm,同問,2,4,,,,,
CB 2400 大家咩grade,semB 攞A+,A-,P😂😂,13,13,,,,,
CB2400 midterm分數,Me2🤣🤣,我由17分加到24分🤯,,,,6,56,,,
