参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
校巴加價加到7蚊程，會唔會太貴,🍟,玩開車真心覺得啲司機好廢🚬，chok到傻,🍟,啲同學仔*,🍟,No啦同學仔成日行上行落續錶，而家有App可以直接泊4鐘先再續，天地堂都冇有怕,3,13,,,,,
已經4號仲未出iwork糧 FO係咪偷懶,🌹,📷,😴,個個月都唔同日子出㗎,😛,請問邊度有得睇？🙌🏻,4,9,,,,,
Hall early check in,🗿,係 early check in 係比d有sem1/whole year offer 而又想早d入住嘅人申請 唔想嘅等9月頭正常check in 就ok,🍦,請問申請到hall係咪唔一定要填early check in  可以等9月再check in? thx,,,,,1,2,,,
in特殊學校教席有咩睇法？,🍾,你in邊類型特殊學校？,🦀,係咪要求高啲難啲入？抑或其實唔喺俾fresh grad揀？,,,,,1,2,,,
有冇人係Edu想搞嘢😂🙈,🐈,pm下,🍁,here利申男,🍾,我男,2,63,,,,,
nhall啲嘢壞撚完未,😱,求下你哋唔好整壞Nhall啲嘢啦😭😭我有住開Nhall架,🍕,住過暑sem先知on9先住Nhall 寧願冇hall住都唔會再住Nhall,😡,你來N hall 住summer sem 就會明,3,11,,,,,
小數 GPA 點先算正常,🐺,日日就分手？,🍳,妒忌你日日就分手定點？,🐋,唔過3,2,34,,,,,
🌰,ddray,push,🍪,老師好 grade嗎？,👺,pm,1,5,,,求GEG 1033 source🙏,,
新教師係咪都要經歷大約3個月試用期？,🐢,唔會,🍈,係咪真係有機會11月突然話唔適合繼續做直接解除試用期？,,,,,1,2,,,
有冇hehe住summer,🍋,🙆🏻‍♂️🙆🏻‍♂️,🍒,借嚟冇用呀又搵唔到member,,,,,1,12,,,
JC 女 夾屋,👿,Pm,🎅,雙人房pm,👿,有冇人要夾jc 雙人房同三人房單人房full 哂,2,3,,,,,
☠,🌽,一行入去以為水浸 d衫一個唔小心跌落地就g 咗,,,,,,,,,點解Nhall 個洗衣房可以日日都咁濕？,1,1
放A/A- essay,🌹,GE courseGEM4004 B+GEK2008 A-GEH1052 A-GEE1003 AGS Major/minorEVS3006 AHCS3064 ASCI1002 A-SCI2062 ASSC2025 ASSC3276 B+SSC3054 ASCI1561 ASED Major/minorSED3005 A-ES course FEX1161 A-PFS2013 A-PSY2050 A-TLS3055 ATLS3003 A,🍨,dm pls,ddray,求🙏🙏,4,17,,,,,
有冇人知一級係咪得一個人可以攞dean list,🐇,Yes （Sem 1 之前嗰個）,🐍,Year gpa 會唔會計埋summer sem？,😫,11月,3,17,,,,,
仲有冇人記得盧曉欣？,🐂,四年後嘅今日我已經打緊政府工,,,,,,,,,,1,1
INT4061 幾時出grade？,⛹,出grade啦,🐆,苦主+ 2,🐧,苦主+1,2,3,,,,,
Appeal表格,🎈,起碼要帶少少錢去見meeting,🎈,你哋appeal 咁冇誠意梗係唔得,🐽,B+想上a range係幾困難的,2,7,,,,,
JC女 夾屋,salagabu,hi～ 唔係好識用，dm唔到你🥲🙏🏿,salagabu,hi～ 唔係好識用，dm唔到你🤣🤣🙏🏿,🌱,Pm,1,9,,,,,
GPA點計,🦄,有,🙄,冇其他科／橫跨2個Sem 嘅嘢？,🦄,6cr B+9cr B6cr B-點解GPA係2.93,1,3,,,,,
Hall B有無正仔仔（yo下）,🤔,中數？,🐀,Anson Cheung,👺,Me,1,5,,,,,
GE faith and reason靚grade?,😏,who teach?,🌻,A,🌝,Cheng Tak Lai靚grade嗎？,1,11,,,,,
衰11嗰個譚老師係咪前su p?,🐍,係咪就係嗰個譚兆竣？,,,,,,,,,,1,1
[Hall] 想問whole yr有冇得同sem2嘅人同房,🐂,No,😄,互相都交咗表但唔知最後會唔會批🤔,,,,,1,2,,,
畢業要求,🌰,Thanksss🙏🏻,😭,唔係,🌰,請問CLE non credit 科目係唔係pass 曬先可以grad,1,5,,,,,
招roommate,Asdfghjkl123,男 JC 希望可以夾屋🙏🏻,Kll,nhall 3人房 whole year招roomate有意pm/telegram :klnnah,🐼,nh 女 3人whole yr 招rm,2,4,,,,,
招roommate,Asdfghjkl123,男 JC 希望可以夾屋🙏🏻,Kll,nhall 女仔3人房 whole year招2位 roommate有意pm/telegram :klnnah,😰,男 住宿時間：whole year有宿舍：hall A有房間類型：budget求宿舍：hall B求房間類型：Standard有意pm！,1,12,,,,,
Eduhk killer,😎,+1,👱,"Kan Lai Har,Alta",🍮,Cheung Hiu Yan Alice,16,167,,,,,
有冇人報咗Bridging Cultures服務學習計劃,😡,Push,👵,有薪嘅義工…..？咁新穎嘅呢個概念,😡,係有薪嘅義工計劃 而家已經六月中仲未收到任何通知/群組邀請,1,7,,,,,
換hall,🐭,Pm,🐭,Pm,🌚,Pm,3,150,,,,,
小弟想問有無人想長做數學補習？(最後招募),😼,[代Po]（之前po過幾次了，今次係最後一次po，如果有興趣嘅可以tg搵我）係咁的，小弟都係讀緊大學嘅，自己就做數學小組補習，自己都營運左差唔多半年至一年左右啦，類似你係IG睇到果D啦，黎緊想繼續擴大個規模，但奈何自己時間有限，自己一個腳踢所有野唔係好掂，所以就想招一個partner負責教學，小弟想負責營運果part。而家個IG都有超過1200個followers，大約20個學生左右，主要係補高中數學。基本嘅筆記都整左喇，不過當然之後要再整好D。小弟想招一個長期合作嘅partner，就負責教學同教材果D，之後會拆賬咁做，所以係parter制，唔係part-time/full-time制。小弟識唔到身邊有咩熟人想做補習，所以先上黎D forum睇下有無人有興趣，同埋想招一個對教數有興趣嘅，然後數學最好有5*或以上啦，如果真係好有興趣嘅都可以搵我先！我七月前就要搵到個適合嘅partner喇～ 所以有興趣嘅可以pm我有興趣可以經以下途徑pm我～因為係代po，你係forum入面pm，我聯繫唔到你，或者你可以留TG我搵你都可以嘅～Telegram: https://t.me/yonamousThank you了各位巴絲～ 最後一次po了,,,,,,,,,,1,1
酌宿,🙂,想問通常成功率大唔大？,,,,,,,,,,1,1
想問有科總分係80.5，咁樣算係A-定B+？,🙊,老師Email問分紙,🍧,想知邊到可以睇總分？定係要professor 講先會知,Kfleung,我80.5 B+ ching真係好彩,1,12,,,,,
