参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
放ACCT1006 Exam Paper & Answer,TS1213,.,😝,Dm,TS1213,DM,1,31,,,,,
Cj,😒,沒,🌼,冇,🍐,無,1,4,,,,,
有冇人暑假都搵唔到嘢做,👨,好,😶,介唔介意pm你 想傾下揾工😂😂,👨,就黎year4讀理科🫠,1,5,,,,,
求FINE4006&FINE4027 Source,🌭,請問有冇人唔介意share下呢兩個courses嘅lecture powerpoints？無盡感激🙏🏻🙏🏻🙇🏻‍♀️🙇🏻‍♀️ 因為有興趣可能reg,,,,,,,,,,2,1
收書法工具,👻,求平放🙏🏼🙏🏼🙏🏼,,,,,,,,,,1,1
想問GTCU2046,😆,Push,😻,Ms Shum K Y教得好唔好？ 係咪killer?,,,,,1,2,,,
llaw3007 past paper,🍚,Pm,Anx234,Sell sources自己Notes+中英翻譯print out哂 past paper Q+A(highlight左點睇每一題) tutorial Q+A All hard copy 有意pm!,🍚,pm,1,13,,,,,
Retake,🎅,可以late drop,🍻,冇信心嘅科一律建議攞F再黎過,🌬,D冇得咁 接受現實,1,5,,,,,
🌿,🐽,係咪個個都goodtrip,,,,,,,,,其實有冇人食大麻食到有情緒問題？,2,1
畢咗業，￼學生證未過期，係咪都入到圖書館？,🍛,係,,,,,,,,,,1,1
接acct1006,🐧,pm,abc122,Pm,🌮,Pm,1,54,,,,,
英文系有無o camp？,😜,有無人知道會唔會入左英文系之後會唔會有o camp？因為我係英文系網站上面見到有提到o camp，唔知道係咪for year 2嘅英文新生🧐,,,,,,,,,,1,1
各位文院派左咩major,🍾,有冇人translate 呀？想知translate同學多數minor咩科,👮,英文幾好,👺,想開個group圍爐🥹 我英文,1,3,,,,,
有冇人23-24 sem2 UK exchange?,😇,Same!!! Dm?,🍂,Leeds,caicai,Manchester,1,3,,,,,
今年嘅hall仲係咪同以前嘅評價一樣,🐞,現實就係咁殘酷 本身宿位都少 所以學校咪有4年一宿嘅政策 學生點都有得住一年 試過唔啱住就真心建議唔好住,🍞,"本身就應該輕鬆住啦 想玩嘅咪玩 想訓嘅咪訓diu 都2020年代 d hall culture同8,90年代都冇分別😂",😚,明嘅就明,4,24,,,,,
有冇人下個sem會去瑞典Linköping exchange,😎,Pm之前嗰個過咗期😹,🐊,Pm,😎,Pm,1,15,,,,,
GTCU2036 點？,😘,呢科好似冇人講 個Chan Anna係點？,,,,,,,,,,1,1
MATH2205 (Multi Cal) Summer,數撚a,有冇人知上年real analysis 有冇十條友,數撚a,驚multi cal撞下年 real analysis,🌼,Sem1都會再開啦唔洗急,2,6,,,,,
GFQR1045 隊友,😀,收嗲啦,🍻,想問下有冇人係reg左summer term讀GFQR1045 (Smart d) 架？可相認，呢一個月Chur一科🔥,,,,,1,2,,,
有冇c打想要零用,🌯,推,😩,Push,🌯,有意dm,1,2,,,,,
☠,🌜,有 不過佢都係識人先入到去做,👺,Btw咁啱見到！證明機會都幾多！希望幫到大家搵工 一切順利💜🙆🏻‍♂️,👺,識唔識人搵緊工呀? 7月4日喺機場有個青年就業資訊日呀😆 有成30+攤位同3000+個空缺，仲要免費入場🤩 fw畀frd睇下https://hknewsflash.page.link/7Upx,9,105,,,商科人）有冇人同我一樣搵唔到intern,,
揀Science Major 一問,🐎,"Ching我宜家math yr2, 有D問題想問下你可以嗎，pm",⛑,慢慢學都得la code,🐎,有興趣掂Code先好揀呀,1,62,,,,,
想知咩係unofficially withdrawn,🦄,佢依家叫我下個學年再搞 但好似intern course係sem2先有 我sem1冇嘢讀 唔知洗唔洗交sem1學費,🦄,both,🙂,佢email定寄信比你,1,11,,,,,
exchange tran cred,🍹,每個course都唔同 點答😂,🍹,如果冇話想tran邊一科 到時填form course name 就咁寫free elective就得,🍹,小事啦😂😂,1,18,,,,,
請問有冇scholarship 可以用今個sem成績申請？謝,😦,你講邊個 有啲12月尾1月中就出result 有啲4月先出result,🍗,有冇人知Comm scholarship出咗未🧐,😤,顧字玩😪😪😪,2,23,,,,,
Hall return 分數,🍧,機會細,🗿,35 好撚低😂,🗿,有見過人39分返到,24,,,,,,
酒糟肌,🙁,都係個啲藥,🙁,揀個近你嘅咪得,🙁,咪皮膚科囉,1,4,,,,,
女廁免費m巾,😺,https://www.instagram.com/p/CpZDD8KJZFz/?igshid=MzRlODBiNWFlZA==可能要上網買啲機器，入現金/過數就開到鎖，類似扭蛋機嘅機關。但單靠學生自發做成本高又難持續，都要靠學校或者組織幫手。,🍹,大陸人會搶曬，賣好啲,🐧,不過哩間大學我去個時係廁格都有 真係好好 救我一命啊但係要點實踐踐就要諗下就咁放係度好污糟圖中個啲盒可以係邊度買到呢🤔🤔,1,11,,,,,
Sell source! 🔥,😬,加 gfhc1045Busi2037,😬,Push,😬,Llaw3007Busi2045Busi3006Busi3007/business research methodBusi3046Isem3007Gtsu2017有意tghttps://t.me/plolpq,2,3,,,,,
有冇人黎緊去芬蘭Jyvaskyla exchange🙏🏻,TFordTord,Add tg ok ma😭🤲🏻,abcdefa,Dm plz🙏🏼,😨,我send唔到火圈比你🫣,1,9,,,,,
Hall fresh,😪,Cai 堂今年繼續chur,,,,,,,,,,1,2
想問點樣搞退學,🍕,何止幫你主動退學  直程幫你報埋警一條龍  呢間嘢報警拉鳩自己學生都唔係未做過,😮,校長室門外大叫光時口號，佢應該會主動幫你辦理退學手續,🐬,呢層我都唔知，佢嗰陣written noti係叫我還返,1,20,,,,,
🌯,🤒,隊草 非禮,😟,屌 有幾大 住hall日常,🍏,班老鬼玩大咗,1,16,,,今年yang hall好似好靜咁,,
邊度搵到hall debit note？幾時派,🎈,BUniport 今日12.pm派,,,,,,,,,,1,1
見工嘅學歷證明要點搞,🐻,Buniport unofficial grade record,🐻,"Right click, print, export pdf",🐸,cap圖,1,3,,,,,
🎅,💂,正常價source 有意dm,💂,下面全部科A rangeCOMM1015GERM1005GFVM1035GTSU2036GFHC1047GTSC2016MKTG2005,,,,,1,2,放大量source,,
Summer sem,😾,Summer sem 有冇得request online 上架,,,,,,,,,,1,1
DET,Anx234,其實好簡單 你講到就得🤣,🌶,唔知  我本身普通話幾好  但臨場發揮好差  所以諗唔到野講先fail😟,😾,其實想知 宜家嗰passing rate係幾多？好似簡單過以前？利申：上年考 1 take pass,1,8,,,,,
Print quota 每年加？,🐠,唔好咁懶啦 大學生🙃,🐠,其實我就咁google都已經揾到。。。,😯,加幾多錢？,1,6,,,,,
🀄,😖,Okok,👻,是,😖,咁係要accept咗個offer先？,1,12,,,yang 想調zhou/soong,,
Yang hall 調 Zhou hall,🐩,samee,🎈,same,💀,薄酬🙇🏻‍♀️,1,3,,,,,
Soong hall調Zhou hall,🐛,Yang想調zhou,🎍,Yang 想調 CaiPmPm🙇🏻‍♂️🙇🏻‍♂️,😁,Soong 想調Cai,1,6,,,,,
🦀,🐵,何況數學哩科真係好多勁人，又係core，競爭一定大d,🐵,絶對唔係多數，唔好太理想化。有d對成績冇咩要求嘅中學的確會關照返校友先，冇pgde都照請，但哩d只係少數，都要你同母校關係好好又咁啱有位先得，否則都係諗下點樣補個pgde先再入行,🍶,我淨係知中學多數優先收返校友,2,15,,,讀cs做唔做到中學數學老師？,,
🌞,努努,呢個真係,☺️,冇興趣，就唔好喇揀科呢啲嘢,☺️,有興趣就揀,3,9,,,日本史你地咩grade,,
畢業之後One drive會唔會取消唔俾用？,😮,但係普通ac好似得5gb，宜家有1tb，咁啲資料？🤔,🦀,Should be downgrade to normal account right,😮,如題，入面好多資料🥲,1,3,,,,,
year3可唔可以reju,🍅,Yes,🙌,DSE有效期兩年嘅意思係指combined cert只可以用兩年嘅成績combine，但你嘅DSE成績理論上係唔會過期。（戴頭盔 好似係 唔肯定）,😆,如果你係冇心讀先咁低GPA，你re幾多次ju都冇用,1,9,,,,,
有冇人join 咗cip intern,🍢,想睇下有冇人join咗 可以傾下計,,,,,,,,,,1,1
🌿,👴,Livre de l’étudiant + cahier d’activités,,,,,,,,,放French Totem1書,1,1
Plant vs Animal Physiology,🐫,每個major畢業要求都要讀一個Major Elective Course，有大約6個都係Bio既course比你自己揀一個讀，計落cgpa,⛹,想問用major elective reg同用free elective reg有咩分別？唔係都係要計落cgpa？求解,🐫,一開始以為Plant大獲點知Chris仲大獲,1,10,,,,,
cGPA會唔會四捨五入￼？,Anx234,係佢only not all BU students🐒🤭😂,😎,Bu 學生已經讀到連數學基本常識都冇左,,,,,1,13,,,
BUSI3016 Business internship,🦂,Okok thank all🙏🏻🫶🏻,🙌,我都係 打左去問就話13號前交左啲嘢就得 之後會通知你,,,,,1,7,,,
GIS,🍲,爛grade,😐,男神 即刻reg佢course,🍲,都仲係佢教Lol,1,10,,,,,
想知周7有咩花生食 ht rtn 點解不和,🍳,其實明顯有人特登有心亂講啦😂講嗰個咪係真正冇人鍾意嗰個,🍚,話不和既其實係咪造謠,🍚,兩個莊員，全部returning 同hall tu 都有去,1,9,,,,,
有冇人係AY 23/24 SEM2 去內地Exchange,🌯,收皮啦死main狗,🐩,如題 想搵Buddy🙊 雖然都知應該幾渺茫🤭🤭🤭,,,,,1,2,,,
放Plant Phy Animal Phy source,🙂,A range source 包括Notes， PP，Assignment有意PM,,,,,,,,,,1,1
