参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
會唔會有人有多張畢業禮飛🥺😭,mkk,請問仲有冇丫🙏🙏,👻,有Q4,🍃,繼續push 有無Q1😭😭,1,24,,,,,
🌚,🐵,冇伏！,🐵,Easy!,🙆,💔,3,13,,,大家307會溫咩？,,
Retake gpa 一問,🐏,求解答🙇🏻‍♀️,🐏,Pish,🐏,Retake完之後pass翻果科 想問cgpa/wgpa 會計pass之後個grade定照計fail 嗰grade,1,3,,,,,
310 reflection點寫,🍭,佢個字體限制寫左係邊,🌹,完全唔知寫咩好 佢哋改我哋份野都唔會寫到1000字comment啦,😨,要,1,10,,,,,
有冇人知CPH實習完張白卡交還到邊度？,卡比卡比小可愛,Thanks🫂,💁,最後一更交返俾ward,卡比卡比小可愛,但係暫時冇下一次實習了🤔,1,5,,,,,
cgpa有3係咪已經有second up,🐸,我係graduation status嗰度已經睇到自己咩hon,🐹,Hon都未出,😼,都想問下係咪仲未出租袍個email？,3,20,,,,,
307啲recording去晒邊？？？,🙆,用電話開到,🐟,有wo,🐄,頭幾堂recording唔見晒,2,3,,,,,
想搵大學kol ig賣護膚品廣告(有少量報酬）,🌭,Pm,架妹扑扑趣,👋 hello,🌲,Pm,1,4,,,,,
TUNS 儲夠幾多個鐘 唔洗interview?,🍰,聽year5講係3月份番夠四日？,🍌,1800係邊度聽返黎？,🐤,幾時開始計？,1,8,,,,,
Tuns 點樣報更？,🍌,自己主動報更咪得😂,😴,如果wm冇搵 係咪唔使tuns?,🍁,你到時只要同wm講自己邊日翻到工就ok,1,4,,,,,
OU出pool交友區,😩,yr4 ba pm,👾,Yr 4 nursing too,🍍,F Yr 4 nursing,105,767,,,,,
有冇辦法投訴cc?,🎍,who,😐,咩咁不負責任先？,🤔,？,1,5,,,,,
214出成績,🐭,我見好多人一夠半個鐘就走咗，btw 佢比嘅貼士真係好伏,🤖,精神科算好，普通科101fail，第二年讀少一科，之後每年追多一科都要俾原價3萬，係每年都要,🍼,retake 嘅話 cgpa 係計fail嗰grade定retake後嘅grade?,1,12,,,,,
214,🐖,咁多人肥 如果retake cgpa 會計fail嗰grade定retake後嘅grade?,,,,,,,,,,1,1
POLS A322F 係咪轉左人教？,鏡仔,異常地好grade,🙏,搞咩？,鏡仔,好難捉摸,5,147,,,,,
想問gpa無3嘅畢業證書同有3嘅畢業證書有咩唔同,🍭,多謝各位,😜,Sure,🍦,應該會？如果唔係，個個吹自己first hon都得,1,6,,,,,
"Fail咗exam, 會唔會影響畢業？",Buboba,順便補充下如果你只係差DD合格 分卷會超級簡單所以唔洗驚 到時有溫盡就一定會合格可以如期畢業,Buboba,出左比你之後一日左右畢業組會send比你叫你比錢,Buboba,快就三到五日出成績比你,4,12,,,,,
第二屆都大killer 選舉,⛹,考慮到Yuka疑似fail左好多人，好似分唔到勝負,🌭,點解會冇ltw個名,🍜,法國婆嗰科份卷唔難 ocas又唔低 白嬋今屆實至名歸,13,,,,,,
214 以往有冇tips？,🙀,Push,😻,師兄想問下214 exam你地果年出左咩？🙏🏻,💃,佢有一堂講咗10分鐘test嘅答題技巧，同考邊幾個lecture ，但無講會details 考啲咩🥲姐係頭嗰10幾個lecture 全部都要溫,1,6,,,,,
214温得好絕望呀,😚,其實MHO 最多得一題10分 唔溫呢part 溫其他都夠晒 仲慳返啲時間,☠,師兄想問下214 exam你地果年出左咩？🙏🏻,☠,師兄想問下214 exam你地果年出左咩？🙏🏻,2,6,,,,,
