参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Civil Welcome Camp,辛苦晒,都幾肯定你喺啲傻鳩過氣上莊先知依啲內幕野 好心你見到個Soc會變到咁唔幫手都唔好插一刀啦屌你個老母,Jed,1,25,,,,,
[認真] 大家鍾意邊種學制多啲？,推,推,,,,1,36,,,
邊個hall最多靚仔？👀,V💛💛,89,其他都是垃圾,1,9,,,,,
有冇人有興趣合租 （一個月）寶琳,pish,push,Pish,1,8,,,,,
__,full year female hall 4 to hall 6/7/8,hi pm,full yr hall 2 female swap hall1/tko full yr hall 6 male swap to hall 3,1,18,,,[HALL SWAP] tko want,,
Swap hall,full year female hall 4 to hall 6/7/8,Pmed🙏🏻,Pm,3,120,,,,,
求comp2211 lecture notes,Have sources,,,,,,,,1,1
收acct 3010 3610 source,pm ed,Pm,Pm,3,25,,,,,
收lifs 2210 source,Pm,Pm,Pm,1,21,,,,,
數學系方子豪集中討論區,早晨呀各位希望勸大家唔好跌入思考嘅圈套入面🤣 拋少少scholarly嘅字岀嚟你地就覺得我係postdoc/lecturer/ta，講少少行政程序就覺得我係科大內部做😅 其實呢啲字ug時有做過fyp自然會識；呢啲程序亦唔係科大獨有，香港甚至任何一間外國院校相信都用類似嘅方法做嘢🙂你地真係咁中意捉鬼嘅，呢度只有一個真正確認到我背景嘅嘢🤣 就係我已經做過fyp😅 其他嘅ground都係not solid enough😅至於有人覺得我表現得小學雞，其實我又唔係啲咩influential嘅人，就算係一大堆haters跳岀嚟，阿教授咪又係繼續做緊prof做緊coordinator。但佢就係一個influential嘅人，至少influence到佢嘅學生。佢旗下咁多門生，相信唔少人都係認同佢嘅價值觀，which我覺得係單一而片面嘅。,"佢經常恥笑成绩差嘅學生, 做個爛鬼 dept ug coordinator, 就巴鬼閉, 搞風搞雨, 似住masy大樹遮陰照佢, 強行推1013, 1014L1, 仲有好多office black policies , 任用同自己frd嘅人教書 or做野真心, 講番1013 、14 L1, dse, gce Al 上黎班人有幾多個人真係咁快讀到佢教果D野？呢D野港大中大都唔會yr 1教啦, mit, cambridge都唔會, 你當個個天才？ 至少我唔係lor,比你玩一年, exam之後仲要比佢同 I墳孽 喺IG 恥笑, CAP圖, 話數學系咁都唔識, 係呀, 係唔識呀, 駛死咩？year 2,3慢慢學番lor再者, 佢連老一輩嘅真正大粒佬都唔多比面、唔多尊重, 喺連登同上堂果時話同系某幾個大粒佬係冗員, 等退休, 咁我想問, 方教授你自己做research又有幾好, 幾把炮呀？做左 ug coordinator之後無乜出文, 成日話純數佬先係數學, 你做到莫毅明、丘成桐咁勁先好講啦, 孟國武起碼有Meng's theorem, 你就笑尻老臣子、嚴民起碼真心為學生好, 為人又體貼, 筆記係有待改善, 但方教授你係咁話尻人地份筆記垃圾, 上堂同喺一眾網絡平台挑戰一眾純數同行, 係咪心理變態？",我推的FF,1,13,,,,,
大家認唔認同yu chi wai教得好垃圾同好衰,Ycw搞女,Ycw偏心女對仔態度好差,FF係個人衰，魚致萎係個人又衰教得又廢,1,23,,,,,
想做/已經酋頭刷分集中區,Hi,Posh,Posh,1,4681,,,,,
Year 4 Last sem 免費派所有讀過嘅source,Pm🙏,pm🙏,Pm,26,884,,,,,
科大QS排名插水 跌出前50,試吓計埋Soc firm嘅程度一定贏到hku cu,"咁其他u 排名都跌嘅，除左hku, 第8大直情影都唔見",Hi ff,4,31,,,,,
Qfin study plan,🤬🤬,得一個H?睇小我哋Qfin？,呢度得15cred…係咪睇小我地qfin…,2,13,,,,,
讀ust engine悔終身,quit u rejupas啦👍,impossible,咁不如試下non-ju trans cu cse ，你入得cpeg應該有3.4-3.5 gpa喇？,3,27,,,,,
☺️,pm have source,Pm,如有sources請pm,1,3,,,收CHEM 2110 & CHEM 2210 sources,,
方教授教書區,咁啱同名,動作片演員？,林子健唔係民主黨果個人？,5,90,,,,,
Full yr female hall 3 to TKO,push,Full yr female hall 3 to TKO,full year female hall 4 to others,9,,,,,,
發現local冇幾多爭到靚major,*敢,佢嗰年用抗爭作為競選口號，國安法下有邊間公司咁請？,同埋cga0.6仲要major ocean science呢啲垃圾major除咗McDonald’s真係諗唔到有邊間會請,5,54,,,,,
唔follow咪唔follow 支莊唔鐘意你 點解要fol?,究竟講緊邊個,6uo,第一次見人唱到咁柒,4,34,,,,,
油頭真係特別有優越感,差幾多油 ？,🤣👉,好嬲牙,1,10,,,,,
Summer MATH 2111 老人同學是誰,Join MATH2111 Study group,"Not exactly, phys 一定識maths ，但maths唔一定識phys",,,,1,24,,,
你哋之前讀嗰間中學有冇分社？,推,NoGenuine question,To push his/her goop's marks higher,11,,,,,,
召喚自轉安,🤡🤡放針major,終於係其他po見到居然成功召喚🙏🏻,🤡,1,7,,,,,
有冇人放女hall,我收 我係男 有冇rm?,Pm,pm,1,4,,,,,
係大學四年內應否同係大學識嘅人有性行為？,Push,Push,Push,3,93,,,,,
熱烈恭賀 我不是N宝 終於油頭🎉,🤣,🤣🤣🤣🤣🤣,🤣🤣🤣,1,112,,,,,
對唔住咁多位，我真係好對唔住,sent an image,我已經一個禮拜冇開po，我對不起goop嘅咁多位。,,,,1,2,,,
swap hall,有人抽中可以賣俾我🙏🏻我唔介意,我icon上面應該有火圈 你撳入去應該就ok🙏🏻,Check pm🙏🏻,1,16,,,,,
將來香港嘅科技趨勢,科大一日有方子豪 都唔會有科技,Push,除咗個名唔同,1,12,,,,,
Swap hall,Hall 3 female to hall 7/8/9,"Hall 5 female to hall 7, can pay🙏🏻",Full year hall3 male swap to hall6,1,14,,,,,
Science school 神科,刷分course,好簡單,Math1014,2,66,,,,,
入咗CS 揀唔揀AI好?,個AI extended major都唔係學點樣整個AI嘢，學應用AI咋嘛，發展AI呢啲master，phd先夠最低門檻,都冇人請AI developer,你要睇嗰市要咩架,1,31,,,,,
__,Pm,Pm,Pm thx,1,13,,,求MARK2120 Coral Puig Source🙏,,
收mark2120 coral source,Pm,Pm pls,hii,1,7,,,,,
有冇人呢個summer mark2120 coral,Hi pls pm,Hi,lm,4,3,,,,,
engine啲 major學中大拆出黎收分會點？,唔係個個好似你咁垃圾讀咗個course先識嗰啲嘢😂,M&M>>>>all,gcs > all,2,30,,,,,
分派主修學系機制應否分本地生同非本地生兩條隊？,根據調查，似乎多數人都對上述建議持反對意見,咁老實講無論咩途徑入左u都係仆街自己喊姐，所以我話如果local個dse平均分高d嘅話就唔使制度保護,nds入科大 內地高考要600幾分，local best 5 20分就入得,1,19,,,,,
TKO hall full year夾情侶房,.,,,,,,,,1,1
