参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
韓鵬=派A=好老師,🎉,用十幾萬一個月養件垃圾，完全upgrade 唔到Lingu,🎉,大灣區發展無限，人材鵬鵬。on9，擦鞋，你估習近平會俾香港省嘅官你做？歷史糸教授,,,,,1,11,,,
嶺南師資最差department,🐟,冇， department 係好,🌽,點解冇bba🥹,🐟,好難揀，嶺南養好 L多垃圾🤣不如摺左佢好過,1,3,,,,,
放雪櫃、暖爐、垃圾桶,😘,pm,🌷,Pm,,,,,1,10,,,
新reg科聖經編者入,😉,thanks all!!,🐼,Push,,,,,5,9,,,
嶺南份人可愛嘅老師,🐷,嶺南大學同學：我哋係嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我哋會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,🍟,LUE,,,,,1,24,,,
邊個喺度做鳩BAS莊,🍐,嶺南大學同學：我哋係嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我哋會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,😌,我Daddy買嘅🥰,,,,,1,4,,,
要上就上bas莊,🙋,淨係23都笑死人啦🥳,,,,,,,,,,1,18
老鬼感言,🍷,嶺南大學同學：我们是嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我們會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,🤔,可以收收皮😂,,,,,7,14,,,
上莊班人乜都唔做就可以穩住hall係乜嘢道理,🐼,嶺南大學同學：我们是嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我們會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,🐌,承让 师兄,😳,铁哥儿们抱拳了🤜🤛🫡,2,35,,,,,
SU個紅們夜宴收咁撚貴仲想人去,🍭,嶺南大學同學：我哋係嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我哋會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,👮,初十五都過左 都唔知食乜春,,,,,4,28,,,
😅,🍕,嶺南大學同學：我哋係嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我哋會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,,,,,,,,,2018既fg們 大家搵到工未,6,18
🦀,🍁,我Daddy買嘅🥰,,,,,,,,,校長盃2018討論區 焦點,8,10
你有冇試過因為政見唔一樣而同父母鬧交?,🐣,嶺南大學同學：我哋係嶺大校園社區委員會😉😉本委員會成立宗旨為通過評估，建議，行動及監察嶺大學生會與其屬下組織以促進嶺大校園社區的多元性，生產力及支持度👍⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️⛔️不是SU其下組織⛔️追蹤委員會ig @lu_campus_community_coucnil 取得最新資訊以監察學生組織之活動。我哋會在不偏私的前提下審視嶺大學生會與其他學生組織之行政工作，敬請期待🙏,🐅,Nice Replies To Everyone；）加油！,🍟,如果你覺得參與就會有傷害，我哋明白都絕對尊重你唔想參加嘅意願🫂畢竟首要當然係保護你自己/屋企人,1,21,,,,,
🐔,😌,你有無諗過中大想唔想,🐅,之前好辛苦喺港大走返出黎,,,,,17,49,一人一個嶺南升排名方法,,
🍥,😁,講真，SU咁唔想人入又唔鎖門,,,,,,,,,入su會室到底咩心態,2,4
☠,🐔,咁撚樣上乜鳩SU ar 摺柒咗佢仲好la,🍈,想d會眾點信得過投,,,,,4,29,睇嚟候選su真係好想落選,,
Su 編委 你投左未？,🐽,有link,🐽,睇email,,,,,3,9,,,
