参数1_文本,参数3_文本
,無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
"先唔討論果D歷史係真係假
我假設以前真係有個人生到成隻牛咁叫蚩尤
而石器時代又真係已經有人係中原到掉石頭食恐龍先
我又假設日本人都係由中原過去發展出來
因為如果你係到執著呢D係真係假，係5000年定係3000年
你已經跌左入共產黨灌輸比你嘅邏輯洗腦陷阱

只係講邏輯
中共立國就80年 中華民國立國111年 美國近250年 英國立國300幾年
所以如果你比佢帶到你去諗歷史 就算得1000中史年係真
佢都一定係比所有國家長歷史
問題就全世界人都唔係石頭爆出來
台灣人都係由廈商到中共內戰到發展出黎
所以台灣都同時係有5000年歷史
美國都係由英國發展出黎 所以英國有嘅所有以前嘅歷史
都同時係美國嘅歷史
而全世界人類都係由非洲發展出來
甚至可以再追溯到地球生命起源

而中共永遠向全世界洗腦
自己歷史就係由已知文明開始計
人地歷史就由現代立國開始計
可能你會話我夠你洗你講?
但你抽身返出黎自問
中國有好長歷史呢句野你係咪已經比佢洗左腦覺得好似係事實?
但同你講日本 台灣5000年歷史 你係咪覺得硬係怪怪地?

無可否認佢已經一定程度上洗左全世界腦",無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
"以後一聽到有人話中國歷史5000年
你可以唔洗諗直接答佢台灣歷史都有5000年

你聽到人話非洲人都係由中發展出來
你可以唔洗諗咁答中國人都係由美國發展出來
佢反駁你所有論點 你只要將中國兩隻字換做美國
其實係一樣講得通

因為你要記住中國歷史只係唔夠80年",無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
呢個只係假象，而家嘅中國係共產嘅中國唔係以前嘅中國 而家呢個只係1949年開始 另一個係國民黨時代根本兩樣嘢,無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
"你係咪肯定無洗我腦先
我信你架啦",無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
係假像 但係的確洗腦,無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
所以為下一代 真係要走,無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
"其實冇乜野

就算有50000年歷史又點
咪又係咁多劣根性
咪又係鬥不過洋槍洋炮",無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
"依家人地就係要洗你地腦講到佢係老祖宗你要尊重佢
偷換老人家概念
事實就係一個BB扮老人家叫人地尊重佢",無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
好長歴史又點？恐龍化石都有好長歷史啦。,無可否認中國有好長歷史 呢句說話已經成功洗左唔少人腦
好長歴史又點？恐龍化石都有好長歷史啦。,無知一問基督教小學教聖經，佛教小學讀佛經？
"今日經過一間佛教中學，記起小學讀基督教小學要讀聖經，食飯前要祈禱。

雖然唔知係咪教育局既小學必修課程，咁但係唔會係佛教小學到教聖經掛，

所以實際上係咪會教佛經，講下取西經之類既佛學，考下佛學測驗咁。

咁冇宗教背景既小學係咪又可以讀小一科呢",無知一問基督教小學教聖經，佛教小學讀佛經？
係會教佛經會考有佛學考,無知一問基督教小學教聖經，佛教小學讀佛經？
我地每朝要企係大堂跟住個訓導祈禱1 分鍾 聽佢係台上鳩up 要得低頭哩埋眼 佛教小學要點,無知一問基督教小學教聖經，佛教小學讀佛經？
祈禱變念經？,無知一問基督教小學教聖經，佛教小學讀佛經？
脱維善有冇教可蘭經？,無知一問基督教小學教聖經，佛教小學讀佛經？
我估有77個處女等緊大家！！,無知一問基督教小學教聖經，佛教小學讀佛經？
"會讀佛學，當然唔係直接讀經文，小學咁細個，通常都係講下d佛教故事，講下d戒律咁

早會會唱佛寶歌，會有浴佛節，以前佛誕仲未係公眾假期既時候會有學校假期",無知一問基督教小學教聖經，佛教小學讀佛經？
"我小學係佛教，間小學有間佛堂，真係有個環節係禮佛，成班人輪流入去拜佛
不過唔係日日去，係佛教堂先會去",無知一問基督教小學教聖經，佛教小學讀佛經？
取西經應該唔係佛學.....,無知一問基督教小學教聖經，佛教小學讀佛經？
"佛學，一半講歷史，一半講初級佛教，集會時頌佛號，喃嘸xxxxxxx 十次
無野要拜，係禮堂長期有注香不過唔算太臭",無知一問基督教小學教聖經，佛教小學讀佛經？
基督教個班信徒太撚假 想嘔,無知一問基督教小學教聖經，佛教小學讀佛經？
聖經堂都係 講下五餅二魚 講下係羊群中生出耶穌,無知一問基督教小學教聖經，佛教小學讀佛經？
有冇學生因為宗教信抑問題唔肯拜,無知一問基督教小學教聖經，佛教小學讀佛經？
記憶中就冇因為都成20年前,無知一問基督教小學教聖經，佛教小學讀佛經？
"我終於明點解有時係班fd 面前講下d 濕鳩難gag , 例如食飯前大聲講 求主耶穌 賜我飲食 xxxxxxx,

冇人明尷尷介介 原來係大家個底唔同 我仲以為全港小學統一食飯要祈禱",無知一問基督教小學教聖經，佛教小學讀佛經？
點會唔係,無知一問基督教小學教聖經，佛教小學讀佛經？
"玄奘, 即係歷史上嘅唐三藏, 真係有去天竺學習14年, 再帶啲經返唐國翻譯, 係兩大中文佛經譯經家之一
係咪等於樓主講嘅取西經就唔知",無知一問基督教小學教聖經，佛教小學讀佛經？
"入得佛教都估到有佛野要做

不過唔想都冇人逼你 真心佛教算好包容其他宗教

我以前就未識人信基督教 但入左佛教學校",無知一問基督教小學教聖經，佛教小學讀佛經？
我知佢係去最西經 跟住又翻譯唔少佛經 不過去人竺嘅過程 都係佛學之一？,無知一問基督教小學教聖經，佛教小學讀佛經？
道教小學教道德經？,無知一問基督教小學教聖經，佛教小學讀佛經？
好懷念頌佛號,無知一問基督教小學教聖經，佛教小學讀佛經？
好懷念頌佛號,你major嗰科有幾實用？
你有個親戚俾警察拉咗返差館。試描述利用你大學學系既專業知識可以點樣幫佢？,你major嗰科有幾實用？
冇咗我嗰科全世界都要捱貴米,你major嗰科有幾實用？
調理農務系 ?,你major嗰科有幾實用？
冇微積分，飯都冇得你食,你major嗰科有幾實用？
冇微積分，飯都冇得你食,打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
"（傳統文化）秦東魁：諸事不順皆因不孝，諸事不順皆因犯邪淫

打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女/成日嘈交

下面有大把案例
https://www.youtube.com/channel/UCuUjOVTA9e25cPQPG8mL5_Q

邪淫普遍分三級

最輕既係打丁，之後較嚴重係叫雞，最嚴重既係搞有夫之婦。

犯邪淫最主要有兩大影響

第一，首先最影響既係財運，令你搵唔到錢/儲唔到錢，令你一事無成

第二，影響夫妻關係/溝唔到女

特別係叫過雞/搞人老婆果啲，更加難溝女+搵唔到錢+一事無成+諸事不順


秦東魁講傳統文化
https://youtube.com/@user-dx9hs4ld6h



分享戒丁方法，戒夠一年冇難度

好多人見到一堆字就已經唔想睇，但依家你可以用手機聽戒色文章，AN/IOS 一樣用得，而且係廣東話！
http://noj1314.258club.com/viewthread.php?tid=2887&page=1&extra=#pid6794
內含 戒為良藥 + 香港版戒色文+大量成長紀錄(聽人地既戒丁故事，悟自己既人生) + 古代經典戒淫書籍 + 飛翔答疑2000問


其他必睇既戒色文章：
戒為良藥 （必睇）
https://www.qiusuoo.com/zh-tw/2
[整合] [極多字] 香港人既打J傷身案例
https://lihkg.com/thread/2965594/page/1
大量戒丁前後對比圖
http://noj1314.258club.com/forumdisplay.php?fid=63
戒色吧=> 建議去精品帖睇精品戒色文
http://tieba.baidu.com/f?kw=%BD%E4%C9%AB
[男女都要補] 中醫補腎交流
https://lihkg.com/thread/2968091/page/1
香港戒丁YOUTUBE
https://www.youtube.com/channel/UCuUjOVTA9e25cPQPG8mL5_Q",打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
Sor 成日打 啱啱買馬又中 又有女同我日日扑,打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
叫過雞係咪無計，無得補救,打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
出到軌我又唔介意溝唔到女喎,打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
"https://www.youtube.com/channel/UCuUjOVTA9e25cPQPG8mL5_Q

入面有講",打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
多隆打J打到傻咗 鐘意玩單機版,打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
運氣差到一個點 打丁害人不淺,打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
"CLS，真係要又窮又毒先講得出呢D
大把男人五樣野都有，樓主D歪理都唔知點黎",打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
"仆你個街 同埋啲法輪功一撚樣
賭王叫雞出軌多撚過你食飯
有冇影響財運阿臭四",打丁/叫雞/出軌等，第一影響財運，第二會令你溝唔到女
"仆你個街 同埋啲法輪功一撚樣
賭王叫雞出軌多撚過你食飯
有冇影響財運阿臭四",覺唔覺六合彩中咗頭獎得800萬好唔抵
"頭獎中獎機率為1/13,983,816
成世人俾盡你都係中得一次
唔好彩上期有人中 就得800萬
人哋頭獎幾期無人中 就幾千萬
差幾倍
你就買一個單位自住
人哋就自住再放租幾個單位

以後見到頭獎得800萬真係忍手唔買算
一個唔覺意中咗就激鬼氣
用曬成世運",覺唔覺六合彩中咗頭獎得800萬好唔抵
Gif？,覺唔覺六合彩中咗頭獎得800萬好唔抵
你唔要就比我 多謝,覺唔覺六合彩中咗頭獎得800萬好唔抵
咁你要唔要？,覺唔覺六合彩中咗頭獎得800萬好唔抵
GIF?,覺唔覺六合彩中咗頭獎得800萬好唔抵
中到先算啦,覺唔覺六合彩中咗頭獎得800萬好唔抵
